Cell,Parent,LineageName,Birth,Death,Type,Description
hyp10,ABplpppppp,ABplppppppp,295,,hypoderm,Tail ventral hypodermis.
ABpr,ABp,ABpr,35,,,
ABpra,ABpr,ABpra,55,,,
ABpraa,ABpra,ABpraa,75,,,
ABpraaa,ABpraa,ABpraaa,105,,,
ABpraaaa,ABpraaa,ABpraaaa,135,,,
ABpraaaaa,ABpraaaa,ABpraaaaa,170,,,
ABpraaaaaa,ABpraaaaa,ABpraaaaaa,240,,,
AVER,ABpraaaaaa,ABpraaaaaaa,315,,neuron,"Ventral cord interneuron, same post-synaptic targets as AVD but process restricted to anterior cord."
OLQshVR,ABpraaaaaa,ABpraaaaaap,315,,sheath,Quadrant outer labial sheath cell.
ABpraaaaap,ABpraaaaa,ABpraaaaap,240,,,
OLLshR,ABpraaaaap,ABpraaaaapd,325,,sheath,Lateral outer labial sheath cell.
ABpraaaaapv,ABpraaaaap,ABpraaaaapv,325,350,,
ABpraaaap,ABpraaaa,ABpraaaap,170,,,
ABpraaaapa,ABpraaaap,ABpraaaapa,227,,,
RMDR,ABpraaaapa,ABpraaaapad,305,,neuron,"Ring motoneuron/interneuron, many synapses, probably reciprocal inhibitor."
AFDR,ABpraaaapa,ABpraaaapav,305,,neuron,"Amphid finger cell, associated with amphid sheath."
ABpraaaapp,ABpraaaap,ABpraaaapp,227,,,
ABpraaaappa,ABpraaaapp,ABpraaaappa,290,307,,
ABpraaaappp,ABpraaaapp,ABpraaaappp,290,,,
ASKR,ABpraaaappp,ABpraaaapppa,385,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
ABpraaaapppp,ABpraaaappp,ABpraaaapppp,385,405,,
ABpraaap,ABpraaa,ABpraaap,135,,,
ABpraaapa,ABpraaap,ABpraaapa,165,,,
ABpraaapaa,ABpraaapa,ABpraaapaa,226,,,
ADLR,ABpraaapaa,ABpraaapaad,295,,neuron,"Amphid neuron, dual ciliated sensory endings, probably chemosensory, prohject directly to ring, take up FITC."
ABpraaapaav,ABpraaapaa,ABpraaapaav,295,340,,
ABpraaapap,ABpraaapa,ABpraaapap,226,,,
ABpraaapapa,ABpraaapap,ABpraaapapa,300,,,
OLLR,ABpraaapapa,ABpraaapapaa,405,,neuron,"Neuron of outer labial sensilla, ciliated ending."
ABpraaapapap,ABpraaapapa,ABpraaapapap,405,440,,
ABpraaapapp,ABpraaapap,ABpraaapapp,300,320,,
ABpraaapp,ABpraaap,ABpraaapp,165,,,
ABpraaappa,ABpraaapp,ABpraaappa,220,,,
ADFR,ABpraaappa,ABpraaappaa,280,,neuron,"Amphid neuron, dual ciliate sensory endings, probably chemosensory, enter ring via commissure from ventral ganglion, take up FITC."
AWBR,ABpraaappa,ABpraaappap,280,,neuron,"Amphid wing cell, neuron havin ciliated sheet-like sensory ending closely associated with amphid sheath."
ABpraaappp,ABpraaapp,ABpraaappp,220,,,
ABpraaapppa,ABpraaappp,ABpraaapppa,260,,,
ASER,ABpraaapppa,ABpraaapppaa,350,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
ABpraaapppap,ABpraaapppa,ABpraaapppap,350,385,,
ABpraaapppp,ABpraaappp,ABpraaapppp,260,,,
ASJR,ABpraaapppp,ABpraaappppa,350,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
AUAR,ABpraaapppp,ABpraaappppp,350,,neuron,"Neuron, processes run with amphid neuron dendrites but lack ciliated ending."
ABpraap,ABpraa,ABpraap,105,,,
ABpraapa,ABpraap,ABpraapa,135,,,
ABpraapaa,ABpraapa,ABpraapaa,170,,,
ABpraapaaa,ABpraapaa,ABpraapaaa,230,,,
hyp3,ABpraapaaa,ABpraapaaaa,305,,hypoderm,Cylindrical hypodermal syncytium in head.
ILsoDR,ABpraapaaa,ABpraapaaap,305,,socket,"Inner labial socket cell, form protuberances at the tip of each labium."
ABpraapaap,ABpraapaa,ABpraapaap,230,,,
URBR,ABpraapaap,ABpraapaapa,295,,neuron,"Neuron, presynaptic in ring, non-ciliated ending in head, associated with OLL in embryo."
AMshR,ABpraapaap,ABpraapaapp,295,,sheath,Amphid sheath cell.
ABpraapap,ABpraapa,ABpraapap,170,,,
ABpraapapa,ABpraapap,ABpraapapa,230,,,
AWAR,ABpraapapa,ABpraapapaa,310,,neuron,"Amphid wing cell, neuron havin ciliated sheet-like sensory ending closely associated with amphid sheath."
ASGR,ABpraapapa,ABpraapapap,310,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
ABpraapapp,ABpraapap,ABpraapapp,230,,,
AIBR,ABpraapapp,ABpraapappa,295,,neuron,Amphid interneuron.
ABpraapappp,ABpraapapp,ABpraapappp,295,,,
ASIR,ABpraapappp,ABpraapapppa,395,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
ABpraapapppp,ABpraapappp,ABpraapapppp,395,425,,
ABpraapp,ABpraap,ABpraapp,135,,,
ABpraappa,ABpraapp,ABpraappa,170,,,
hyp4,ABpraappa,ABpraappaa,230,,hypoderm,Cylindrical hypodermal syncytium in head.
hyp6,ABpraappa,ABpraappap,230,,hypoderm,Cylindrical hypodermal syncytium in head.
ABpraappp,ABpraapp,ABpraappp,170,,,
hyp7,ABpraappp,ABpraapppa,223,,hypoderm,Embryonic large hypodermal syncytium.
hyp7,ABpraappp,ABpraapppp,223,,hypoderm,Embryonic large hypodermal syncytium.
ABprap,ABpra,ABprap,75,,,
ABprapa,ABprap,ABprapa,105,,,
ABprapaa,ABprapa,ABprapaa,135,,,
ABprapaaa,ABprapaa,ABprapaaa,175,,,
ABprapaaaa,ABprapaaa,ABprapaaaa,225,,,
ABprapaaaaa,ABprapaaaa,ABprapaaaaa,310,340,,
ABprapaaaap,ABprapaaaa,ABprapaaaap,310,,,
ADER,ABprapaaaap,ABprapaaaapa,425,,neuron,"Anterior deirid, sensory receptors in lateral alae, contain dopamine."
ADAR,ABprapaaaap,ABprapaaaapp,425,,neuron,Ring interneuron.
ABprapaaap,ABprapaaa,ABprapaaap,225,,,
ABprapaaapa,ABprapaaap,ABprapaaapa,305,,,
FLPR,ABprapaaapa,ABprapaaapad,425,,neuron,"Neuron, ciliated ending in head, not part of a sensillum, associated with ILso."
AIZR,ABprapaaapa,ABprapaaapav,425,,neuron,Amphid interneuron.
RMGR,ABprapaaap,ABprapaaapp,305,,neuron,Ring motoneuron/interneuron.
ABprapaap,ABprapaa,ABprapaap,175,,,
W,ABprapaap,ABprapaapa,225,,,"Postembryonic neuroblast, analagous to Pn.a."
P2,ABprapaap,ABprapaapp,225,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P1 or P2 (aka P1/2 R)."
ABprapap,ABprapa,ABprapap,135,,,
ABprapapa,ABprapap,ABprapapa,170,,,
ABprapapaa,ABprapapa,ABprapapaa,223,,,
QR,ABprapapaa,ABprapapaaa,730,,,"Postembryonic neuroblast, migrates posteriorly."
V5R,ABprapapaa,ABprapapaap,730,,hypoderm,"Seam hypodermal cell, postembryonic blast cell."
P10,ABprapapa,ABprapapap,223,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P9 or P10 (aka P9/10 R)."
ABprapapp,ABprapap,ABprapapp,170,,,
P12,ABprapapp,ABprapappa,223,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P11 or P12 (aka P11/12 R)."
ABprapappp,ABprapapp,ABprapappp,223,,,
ABprapapppa,ABprapappp,ABprapapppa,300,320,,
ABprapapppp,ABprapappp,ABprapapppp,300,,,
ABprapappppa,ABprapapppp,ABprapappppa,395,,,
PLMR,ABprapappppa,ABprapappppaa,475,,neuron,"Posterior lateral microtubule cell, touch receptor neuron."
ALNR,ABprapappppa,ABprapappppap,475,,neuron,"Neuron associated with ALM, send processes into tailspike."
ABprapappppp,ABprapapppp,ABprapappppp,395,425,,
ABprapp,ABprap,ABprapp,105,,,
ABprappa,ABprapp,ABprappa,135,,,
ABprappaa,ABprappa,ABprappaa,170,,,
P4,ABprappaa,ABprappaaa,223,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P3 or P4 (aka P3/4 R)."
P6,ABprappaa,ABprappaap,223,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P5 or P6 (aka P5/6 R)."
ABprappap,ABprappa,ABprappap,170,,,
V3R,ABprappap,ABprappapa,223,,,"Seam hypodermal cell, postembryonic blast cell."
P8,ABprappap,ABprappapp,223,,,"Postembryonic blast cell for ventral cord neurons, ventral hypodermis, vulva, male preanal ganglion; form ventral hypodermis in L1; stochastic fate: this cell becomes either P7 or P8 (aka P7/8 R)."
ABprappp,ABprapp,ABprappp,135,,,
ABprapppa,ABprappp,ABprapppa,175,,,
ABprapppaa,ABprapppa,ABprapppaa,230,,,
PVQR,ABprapppaa,ABprapppaaa,315,,neuron,"Interneuron, projects along neural cord to ring, darkly staining vesicles."
ABprapppaap,ABprapppaa,ABprapppaap,315,325,,
ABprapppap,ABprapppa,ABprapppap,230,,,
ABprapppapa,ABprapppap,ABprapppapa,290,310,,
ABprapppapp,ABprapppap,ABprapppapp,290,,,
HSNR,ABprapppapp,ABprapppappa,405,,neuron,"Hermaphrodite specific motoneuron (die in male embryo), innervate vulval muscle, contains serotonin."
PHBR,ABprapppapp,ABprapppappp,405,,neuron,"Phasmid neuron, ciliated ending, probably chemosensory, similar to amphids but situated in tail, take up FITC."
ABprapppp,ABprappp,ABprapppp,175,,,
hyp7,ABprapppp,ABprappppa,230,,hypoderm,Embryonic large hypodermal syncytium.
TR,ABprapppp,ABprappppp,230,,,"Tail seam hypodermal cells, postembryonic blast cell, function as phasmid socket in L1."
ABprp,ABpr,ABprp,55,,,
ABprpa,ABprp,ABprpa,75,,,
ABprpaa,ABprpa,ABprpaa,105,,,
ABprpaaa,ABprpaa,ABprpaaa,135,,,
ABprpaaaa,ABprpaaa,ABprpaaaa,180,,,
ABprpaaaaa,ABprpaaaa,ABprpaaaaa,225,,,
SAAVR,ABprpaaaaa,ABprpaaaaaa,297,,neuron,"Ring interneuron, have anteriorly direct process that runs sublaterally."
AWCR,ABprpaaaaa,ABprpaaaaap,297,,neuron,"Amphid wing cell, neuron havin ciliated sheet-like sensory ending closely associated with amphid sheath."
ABprpaaaap,ABprpaaaa,ABprpaaaap,225,,,
G1,ABprpaaaap,ABprpaaaapa,293,,,"Postembryonic blast cell; excretory socket is G1 in embryo, G2 in L1, G2.p later."
DB3,ABprpaaaap,ABprpaaaapp,293,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABprpaaap,ABprpaaa,ABprpaaap,180,,,
ABprpaaapa,ABprpaaap,ABprpaaapa,225,,,
URAVR,ABprpaaapa,ABprpaaapaa,310,,neuron,"Ring motoneuron, non-ciliated ending in head, assocated with OLQ in embryo."
CEPshVR,ABprpaaapa,ABprpaaapap,310,,sheath,"Cephalic sheath cell, sheet-like process envelops neuropil of ring and part of ventral ganglion."
ABprpaaapp,ABprpaaap,ABprpaaapp,225,,,
ABprpaaappa,ABprpaaapp,ABprpaaappa,295,,,
OLQVR,ABprpaaappa,ABprpaaappaa,408,,neuron,"Neuron of quadrant outer labial sensilla, ciliated ending with striated rootlets."
ABprpaaappap,ABprpaaappa,ABprpaaappap,408,435,,
URYVR,ABprpaaapp,ABprpaaappp,295,,neuron,"Neuron, presynaptic in ring, non-ciliated ending in head, associated with OLQ in embryo."
ABprpaap,ABprpaa,ABprpaap,135,,,
ABprpaapa,ABprpaap,ABprpaapa,175,,,
ABprpaapaa,ABprpaapa,ABprpaapaa,225,,,
RIVR,ABprpaapaa,ABprpaapaaa,300,,neuron,Ring interneuron.
AVBR,ABprpaapaa,ABprpaapaap,300,,neuron,"Ventral cord interneuron, synapses onto VB, DB, and AS motoneurons; formerly called beta."
ABprpaapap,ABprpaapa,ABprpaapap,225,,,
AMsoR,ABprpaapap,ABprpaapapa,303,,socket,Amphid socket cell.
CEMVR,ABprpaapap,ABprpaapapp,303,470,neuron,"Male-specific cephalic neurons (die in hermaphrodite embryo), open to outside, possibly mediate male chemotaxis towards hermaphrodite."
ABprpaapp,ABprpaap,ABprpaapp,175,,,
ABprpaappa,ABprpaapp,ABprpaappa,220,,,
ASHR,ABprpaappa,ABprpaappaa,300,,neuron,"Amphid neuron, single ciliated ending, probably chemosensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil, also take up FITC."
RIBR,ABprpaappa,ABprpaappap,300,,neuron,Prominent branched ring interneuron.
ABprpaappp,ABprpaapp,ABprpaappp,220,,,
AIMR,ABprpaappp,ABprpaapppa,295,,neuron,Ring interneuron.
ABprpaapppp,ABprpaappp,ABprpaapppp,295,,,
CEPVR,ABprpaapppp,ABprpaappppa,408,,neuron,"Neuron of cephalic sensillum, contains dopamine."
ABprpaappppp,ABprpaapppp,ABprpaappppp,408,440,,
ABprpap,ABprpa,ABprpap,105,,,
ABprpapa,ABprpap,ABprpapa,135,,,
ABprpapaa,ABprpapa,ABprpapaa,165,,,
ABprpapaaa,ABprpapaa,ABprpapaaa,225,,,
SMDDR,ABprpapaaa,ABprpapaaaa,305,,neuron,"Ring motoneuron/interneuron, has posteriorly directed process that runs sublaterally."
AIYR,ABprpapaaa,ABprpapaaap,305,,neuron,Amphid interneuron.
ABprpapaap,ABprpapaa,ABprpapaap,225,,,
SIADR,ABprpapaap,ABprpapaapa,300,,neuron,"Receives a few synapses in the ring, has posteriorly directed process that runs sublaterally."
SIBVR,ABprpapaap,ABprpapaapp,300,,neuron,"Receives a few synapses in the ring, has posteriorly directed process that runs sublaterally."
ABprpapap,ABprpapa,ABprpapap,165,,,
ABprpapapa,ABprpapap,ABprpapapa,220,,,
exc gl R,ABprpapapa,ABprpapapaa,290,,excretory,"Excretory gland, fused to exc gl L, send process to ring, opens into excretory duct."
AVKR,ABprpapapa,ABprpapapap,290,,neuron,Ring and ventral cord interneuron.
ABprpapapp,ABprpapap,ABprpapapp,220,,,
SIAVR,ABprpapapp,ABprpapappa,297,,neuron,"Receives a few synapses in the ring, has posteriorly directed process that runs sublaterally."
DA8,ABprpapapp,ABprpapappp,297,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABprpapp,ABprpap,ABprpapp,135,,,
ABprpappa,ABprpapp,ABprpappa,165,,,
ABprpappaa,ABprpappa,ABprpappaa,220,,,
RIH,ABprpappaa,ABprpappaaa,290,,neuron,Ring interneuron.
AVL,ABprpappaa,ABprpappaap,290,,neuron,"Ring and ventral cord interneuron/motoneuron, few synapses."
ABprpappap,ABprpappa,ABprpappap,220,,,
RIS,ABprpappap,ABprpappapa,290,,neuron,Ring interneuron.
DB4,ABprpappap,ABprpappapp,290,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABprpappp,ABprpapp,ABprpappp,165,,,
ABprpapppa,ABprpappp,ABprpapppa,225,,,
RIR,ABprpapppa,ABprpapppaa,295,,neuron,Ring interneuron.
AVG,ABprpapppa,ABprpapppap,295,,neuron,"Ventral cord interneuron, few synapses, sends process into tailspike."
ABprpapppp,ABprpappp,ABprpapppp,225,,,
virR,ABprpapppp,ABprpappppa,290,,valve,Intestino-rectal valve.
virL,ABprpapppp,ABprpappppp,290,,valve,Intestino-rectal valve.
ABprpp,ABprp,ABprpp,75,,,
ABprppa,ABprpp,ABprppa,105,,,
ABprppaa,ABprppa,ABprppaa,140,,,
ABprppaaa,ABprppaa,ABprppaaa,175,,,
ABprppaaaa,ABprppaaa,ABprppaaaa,230,,,
SIBDR,ABprppaaaa,ABprppaaaaa,297,,neuron,"Receives a few synapses in the ring, has posteriorly directed process that runs sublaterally."
ABprppaaaap,ABprppaaaa,ABprppaaaap,297,,,
ABprppaaaapa,ABprppaaaap,ABprppaaaapa,415,440,,
RICR,ABprppaaaap,ABprppaaaapp,415,,neuron,Ring interneuron.
ABprppaaap,ABprppaaa,ABprppaaap,230,255,,
ABprppaap,ABprppaa,ABprppaap,175,,,
ABprppaapa,ABprppaap,ABprppaapa,235,,,
ABprppaapaa,ABprppaapa,ABprppaapaa,315,345,,
RIMR,ABprppaapa,ABprppaapap,315,,neuron,Prominent ring motoneuron/interneuron.
ABprppaapp,ABprppaap,ABprppaapp,235,,,
AIAR,ABprppaapp,ABprppaappa,305,,neuron,Amphid interneuron.
DB7,ABprppaapp,ABprppaappp,305,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABprppap,ABprppa,ABprppap,140,,,
ABprppapa,ABprppap,ABprppapa,175,,,
ABprppapaa,ABprppapa,ABprppapaa,230,,,
ABprppapaaa,ABprppapaa,ABprppapaaa,295,,,
SABVR,ABprppapaaa,ABprppapaaaa,415,,neuron,"Ring interneuron, has anteriorly directed process that runs sublaterally, synapses to anterior ventral body muscles in L1."
RIFR,ABprppapaaa,ABprppapaaap,415,,neuron,Ring interneuron.
DA1,ABprppapaa,ABprppapaap,295,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABprppapap,ABprppapa,ABprppapap,230,,,
DA3,ABprppapap,ABprppapapa,315,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
DA5,ABprppapap,ABprppapapp,315,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABprppapp,ABprppap,ABprppapp,175,,,
ABprppappa,ABprppapp,ABprppappa,230,,,
RIGR,ABprppappa,ABprppappaa,307,,neuron,Ring interneuron.
DD2,ABprppappa,ABprppappap,307,,neuron,"Ventral cord motoneuron, probably reciprocal inhibitor, changes its pattern of motor synapses during postembryonic development, contains GABA."
ABprppappp,ABprppapp,ABprppappp,230,,,
DD4,ABprppappp,ABprppapppa,320,,neuron,"Ventral cord motoneuron, probably reciprocal inhibitor, changes its pattern of motor synapses during postembryonic development, contains GABA."
DD6,ABprppappp,ABprppapppp,320,,neuron,"Ventral cord motoneuron, probably reciprocal inhibitor, changes its pattern of motor synapses during postembryonic development, contains GABA."
ABprppp,ABprpp,ABprppp,105,,,
ABprpppa,ABprppp,ABprpppa,140,,,
ABprpppaa,ABprpppa,ABprpppaa,170,,,
ABprpppaaa,ABprpppaa,ABprpppaaa,228,,,
PDA,ABprpppaaa,ABprpppaaaa,293,,neuron,"Motoneuron, cell body in preanal ganglion, few neuromuscular junctions to dorsal muscles; begins life as cell Y: rectal cell at hatching, becomes PDA in hermaphrodite, postembryonic blast cell in male."
DA7,ABprpppaaa,ABprpppaaap,293,,neuron,"Ventral cord motoneuron, innervates dorsal muscles, probably cholinergic."
ABprpppaap,ABprpppaa,ABprpppaap,228,,,
ABprpppaapa,ABprpppaap,ABprpppaapa,290,,,
PVCR,ABprpppaapa,ABprpppaapaa,435,,neuron,"Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motoneurons; formerly called delta."
LUAR,ABprpppaapa,ABprpppaapap,435,,neuron,"Interneuron, short process in posterior end of ventral cord."
PHAR,ABprpppaap,ABprpppaapp,290,,neuron,"Phasmid neuron, ciliated ending, probably chemosensory, similar to amphids but situated in tail, take up FITC."
ABprpppap,ABprpppa,ABprpppap,170,,,
ABprpppapa,ABprpppap,ABprpppapa,228,,,
PHshR,ABprpppapa,ABprpppapaa,275,,sheath,Phasmid sheath cell.
hyp9,ABprpppapa,ABprpppapap,275,,hypoderm,"Tail ventral hypodermis, alternate fate is hyp8."
ABprpppapp,ABprpppap,ABprpppapp,228,255,,
ABprpppp,ABprppp,ABprpppp,140,,,
ABprppppa,ABprpppp,ABprppppa,170,,,
ABprppppaa,ABprppppa,ABprppppaa,225,,,
PVPR,ABprppppaa,ABprppppaaa,293,,neuron,"Interneuron, projects along ventral cord into nerve ring."
rect VR,ABprppppaa,ABprppppaap,293,,epithelium,"Rectal epithelial cell, adjacent to intestino-rectal valve, has microvilli."
ABprppppap,ABprppppa,ABprppppap,225,,,
B,ABprppppap,ABprppppapa,280,,rectal,Rectal cell.
DVA,ABprppppap,ABprppppapp,280,,neuron,"Ring interneuron, cell body in dorso-rectal ganglion, has a large vesicle-filled process in ring."
ABprppppp,ABprpppp,ABprppppp,170,,,
ABprpppppa,ABprppppp,ABprpppppa,225,,,
mu bod,ABprpppppa,ABprpppppaa,293,,muscle,Embryonic body wall muscle.
mu sph,ABprpppppa,ABprpppppap,293,,muscle,Sphincter muscle of intestino-rectal valve
ABprpppppp,ABprppppp,ABprpppppp,225,,,
tail spike,ABprpppppp,ABprppppppa,293,630,tail,"Used during embryogenesis to make tail spike, then dies."
hyp10,ABprpppppp,ABprppppppp,293,,hypoderm,Tail ventral hypodermis.
C,Psub2,C,42,,,
Ca,C,Ca,70,,,
Caa,Ca,Caa,97,,,
Caaa,Caa,Caaa,133,,,
Caaaa,Caaa,Caaaa,165,,,
hyp7,Caaaa,Caaaaa,220,,hypoderm,Embryonic large hypodermal syncytium.
hyp7,Caaaa,Caaaap,220,,hypoderm,Embryonic large hypodermal syncytium.
Caaap,Caaa,Caaap,165,,,
hyp7,Caaap,Caaapa,222,,hypoderm,Embryonic large hypodermal syncytium.
hyp7,Caaap,Caaapp,222,,hypoderm,Embryonic large hypodermal syncytium.
Caap,Caa,Caap,133,,,
Caapa,Caap,Caapa,180,,,
DVC,Caapa,Caapaa,330,,neuron,"Ring interneuron, cell body in dorso-rectal ganglion."
Caapap,Caapa,Caapap,330,365,,
Caapp,Caap,Caapp,180,,,
hyp7,Caapp,Caappd,235,,hypoderm,Embryonic large hypodermal syncytium.
PVR,Caapp,Caappv,235,,neuron,"Asymmetric interneuron, projects along ventral cord into ring, sends process into tail spike."
Cap,Ca,Cap,97,,,
Capa,Cap,Capa,133,,,
Capaa,Capa,Capaa,185,,,
Capaaa,Capaa,Capaaa,250,,,
mu bod,Capaaa,Capaaaa,322,,muscle,Embryonic body wall muscle.
mu bod,Capaaa,Capaaap,322,,muscle,Embryonic body wall muscle.
Capaap,Capaa,Capaap,250,,,
mu bod,Capaap,Capaapa,330,,muscle,Embryonic body wall muscle.
mu bod,Capaap,Capaapp,330,,muscle,Embryonic body wall muscle.
Capap,Capa,Capap,185,,,
Capapa,Capap,Capapa,250,,,
mu bod,Capapa,Capapaa,325,,muscle,Embryonic body wall muscle.
mu bod,Capapa,Capapap,325,,muscle,Embryonic body wall muscle.
Capapp,Capap,Capapp,250,,,
mu bod,Capapp,Capappa,330,,muscle,Embryonic body wall muscle.
mu bod,Capapp,Capappp,330,,muscle,Embryonic body wall muscle.
Capp,Cap,Capp,133,,,
Cappa,Capp,Cappa,185,,,
Cappaa,Cappa,Cappaa,240,,,
mu bod,Cappaa,Cappaaa,310,,muscle,Embryonic body wall muscle.
mu bod,Cappaa,Cappaap,310,,muscle,Embryonic body wall muscle.
Cappap,Cappa,Cappap,240,,,
mu bod,Cappap,Cappapa,322,,muscle,Embryonic body wall muscle.
mu bod,Cappap,Cappapp,322,,muscle,Embryonic body wall muscle.
Cappp,Capp,Cappp,185,,,
Capppa,Cappp,Capppa,240,,,
mu bod,Capppa,Capppaa,322,,muscle,Embryonic body wall muscle.
mu bod,Capppa,Capppap,322,,muscle,Embryonic body wall muscle.
Capppp,Cappp,Capppp,240,,,
mu bod,Capppp,Cappppd,330,,muscle,Embryonic body wall muscle.
mu bod,Capppp,Cappppv,330,,muscle,Embryonic body wall muscle.
Cp,C,Cp,70,,,
Cpa,Cp,Cpa,97,,,
Cpaa,Cpa,Cpaa,133,,,
Cpaaa,Cpaa,Cpaaa,170,,,
hyp7,Cpaaa,Cpaaaa,222,,hypoderm,Embryonic large hypodermal syncytium.
hyp7,Cpaaa,Cpaaap,222,,hypoderm,Embryonic large hypodermal syncytium.
Cpaap,Cpaa,Cpaap,170,,,
hyp7,Cpaap,Cpaapa,220,,hypoderm,Embryonic large hypodermal syncytium.
hyp7,Cpaap,Cpaapp,220,,hypoderm,Embryonic large hypodermal syncytium.
Cpap,Cpa,Cpap,133,,,
Cpapa,Cpap,Cpapa,175,,,
hyp7,Cpapa,Cpapaa,230,,hypoderm,Embryonic large hypodermal syncytium.
hyp7,Cpapa,Cpapap,230,,hypoderm,Embryonic large hypodermal syncytium.
Cpapp,Cpap,Cpapp,175,,,
hyp7,Cpapp,Cpappd,235,,hypoderm,Embryonic large hypodermal syncytium.
hyp11,Cpapp,Cpappv,235,,hypoderm,Tail dorsal hypodermis.
Cpp,Cp,Cpp,97,,,
Cppa,Cpp,Cppa,133,,,
Cppaa,Cppa,Cppaa,185,,,
Cppaaa,Cppaa,Cppaaa,250,,,
mu bod,Cppaaa,Cppaaaa,322,,muscle,Embryonic body wall muscle.
mu bod,Cppaaa,Cppaaap,322,,muscle,Embryonic body wall muscle.
Cppaap,Cppaa,Cppaap,250,,,
mu bod,Cppaap,Cppaapa,330,,muscle,Embryonic body wall muscle.
mu bod,Cppaap,Cppaapp,330,,muscle,Embryonic body wall muscle.
Cppap,Cppa,Cppap,185,,,
Cppapa,Cppap,Cppapa,250,,,
mu bod,Cppapa,Cppapaa,325,,muscle,Embryonic body wall muscle.
mu bod,Cppapa,Cppapap,325,,muscle,Embryonic body wall muscle.
Cppapp,Cppap,Cppapp,250,,,
mu bod,Cppapp,Cppappa,330,,muscle,Embryonic body wall muscle.
mu bod,Cppapp,Cppappp,330,,muscle,Embryonic body wall muscle.
Cppp,Cpp,Cppp,133,,,
Cpppa,Cppp,Cpppa,185,,,
Cpppaa,Cpppa,Cpppaa,240,,,
mu bod,Cpppaa,Cpppaaa,310,,muscle,Embryonic body wall muscle.
mu bod,Cpppaa,Cpppaap,310,,muscle,Embryonic body wall muscle.
Cpppap,Cpppa,Cpppap,240,,,
mu bod,Cpppap,Cpppapa,322,,muscle,Embryonic body wall muscle.
mu bod,Cpppap,Cpppapp,322,,muscle,Embryonic body wall muscle.
Cpppp,Cppp,Cpppp,185,,,
Cppppa,Cpppp,Cppppa,240,,,
mu bod,Cppppa,Cppppaa,322,,muscle,Embryonic body wall muscle.
mu bod,Cppppa,Cppppap,322,,muscle,Embryonic body wall muscle.
Cppppp,Cpppp,Cppppp,240,,,
mu bod,Cppppp,Cpppppd,330,,muscle,Embryonic body wall muscle.
mu bod,Cppppp,Cpppppv,330,,muscle,Embryonic body wall muscle.
D,Psub3,D,68,,,Embryonic founder cell.
Da,D,Da,115,,,
Daa,Da,Daa,165,,,
Daaa,Daa,Daaa,210,,,
mu bod,Daaa,Daaaa,275,,muscle,Embryonic body wall muscle.
mu bod,Daaa,Daaap,275,,muscle,Embryonic body wall muscle.
Daap,Daa,Daap,210,,,
mu bod,Daap,Daapa,278,,muscle,Embryonic body wall muscle.
mu bod,Daap,Daapp,278,,muscle,Embryonic body wall muscle.
Dap,Da,Dap,165,,,
Dapa,Dap,Dapa,200,,,
mu bod,Dapa,Dapaa,270,,muscle,Embryonic body wall muscle.
mu bod,Dapa,Dapap,270,,muscle,Embryonic body wall muscle.
Dapp,Dap,Dapp,200,,,
Dappa,Dapp,Dappa,265,,,
mu bod,Dappa,Dappaa,340,,muscle,Embryonic body wall muscle.
